LOCATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Kaitaia,19.5,20,18.6,17,14.8,12.8,12.1,12.2,13.4,14.5,15.8,17.9
Whangarei ,19.9,20.2,18.8,16.6,14.4,12.4,11.6,11.9,13.3,14.6,16.4,18.5
Auckland,19.1,19.7,18.4,16.1,14,11.8,10.9,11.3,12.7,14.2,15.7,17.8
Tauranga ,19.4,19.6,18,15.5,13.2,10.8,10.2,10.7,12.3,13.9,15.8,18
Hamilton,18.4,18.8,17.1,14.5,11.9,9.5,8.9,9.8,11.6,13.2,14.9,16.9
Rotorua ,17.7,17.9,16,13.3,10.7,8.5,7.8,8.4,10.2,12,13.9,16.2
Gisborne ,19.2,19.1,17.5,14.8,12.5,10.3,9.7,10.4,12,13.9,15.8,18.1
Taupo ,17,17.1,14.9,12,9.4,7.4,6.5,7.2,9.2,11.1,13.1,15.6
New Plymouth ,17.8,18,16.8,14.5,12.2,10.4,9.5,10.3,11.5,12.8,14.5,16.3
Napier,19.5,19.4,17.7,15,12.4,10,9.4,10.3,12.3,14.3,16.1,18.4
Wanganui,18.3,18.5,17.1,14.6,12.4,10.4,9.5,10.2,11.9,13.3,14.8,16.9
Palmerston North,17.8,18.3,16.4,13.6,11.4,9.1,8.6,9.2,11,12.4,13.8,16.2
Masterton,18.1,17.7,16.3,13.1,10.5,8.6,7.6,8.4,10.5,12.3,14.2,16.4
Wellington,16.9,17.2,15.8,13.7,11.7,9.7,8.9,9.4,10.8,12,13.5,15.4
Nelson ,17.8,17.9,16.1,13.2,10.5,7.9,7.2,8.4,10.4,12.4,14.3,16.4
Blenheim ,18,17.6,15.8,13,10.2,7.7,7,8.2,10.3,12.2,14.2,16.5
Westport ,16.3,16.7,15.3,13.3,11.3,9.3,8.7,9.3,10.7,11.8,13.2,15
Kaikoura,16.4,16.4,15.1,13,11.2,9,8.1,8.8,10.4,11.7,13.2,15.2
Hokitika ,15.6,16,14.5,12.4,10.2,8.2,7.4,8.4,9.9,11.1,12.6,14.4
Christchurch ,17.5,17.2,15.5,12.7,9.8,7.1,6.6,7.9,10.3,12.2,14.1,16.1
Mt Cook,14.7,14.8,12.3,9.2,6.2,3.3,2.2,3.9,6.7,8.9,11,12.8
Lake Tekapo,15.2,14.8,12.4,9.2,5.9,2.6,1.4,3.6,6.5,8.8,11.1,13.2
Timaru ,15.9,15.5,13.8,11,8.1,5.6,5,6.5,8.7,10.4,12.3,14.4
Milford Sound,14.7,14.8,13.3,11,8.4,5.9,5.3,6.9,8.6,10.1,11.8,13.4
Queenstown ,15.8,15.6,13,9.7,7,4.1,3,5,7.7,9.8,11.6,14
Alexandra,18,17.4,14.9,10.9,7.6,3.6,2.9,6,9.3,11.7,14,16.3
Manapouri ,14.7,14.3,12.1,9.4,7,4.3,3.8,5.1,7.4,9.2,10.7,13
Dunedin,15.3,15,13.7,11.7,9.3,7.3,6.6,7.7,9.5,10.9,12.4,13.9
Invercargill ,14.2,13.9,12.5,10.4,8,5.9,5.3,6.6,8.5,9.9,11.4,13
Chatham Islands,14.9,15.2,14.3,12.4,10.6,9.1,8.2,8.6,9.4,10.6,11.7,13.5
